Layer	phenotype_R2	bias_R2_sum	depth_R2	batch_R2	bias_over_phenotype	bias_excl_depth_over_phenotype
EDAseq (GC + Length)	0.0036642554238994884	0.06099586398743577	0.007796328457078266	0.004375282625994558	16.646182356612076	14.518511778238082
EDAseq + RUVg (k=1)	0.0039183033058866334	0.05878999562877445	0.007668871916357289	0.004779065300990029	15.00394202267388	13.046750014378857
EDAseq + RUVg (k=2)	0.004056770875018845	0.05179153349717199	0.005509603868485468	0.0052481484376864715	12.766689343018763	11.40856386878678
EDAseq + RUVg (k=3)	0.003967819005785311	0.045407978641921934	0.005072643824263422	0.0045912463837889435	11.444065007933695	10.16561863301911
RUVg Platelet (k=1)	0.004078742147631945	0.06251600604973451	0.006139698157185989	0.005068941242269515	15.327275857835325	13.821983800883256
RUVg Platelet (k=2)	0.004194788257647055	0.05366261339998603	0.004508031535000177	0.005324205196524143	12.792687044968156	11.718012649477018
RUVg Platelet (k=3)	0.003964882947076767	0.047362912623678415	0.0039472994859272555	0.004514023546952972	11.945601738028152	10.950036537588245
Raw	0.004208906710658523	0.2696848332620198	0.18032359941273532	0.011457572200994843	64.07479466795431	21.231459852267214
Salmon(Length Scaled)	0.004251276058698389	0.2678574577806854	0.17932642188519315	0.011374502812833986	63.00636657848449	20.82457941406839
Salmon(Scaled)	0.003985908942843277	0.25077453834748675	0.1638999955018131	0.010007891110827444	62.91527025416722	21.79541582395087
TPM	0.006581967129508767	0.1557748968745355	0.007971735284383977	0.014737154641387742	23.66692112091442	22.455773279010973
log1p(CPM)	0.004029638768154955	0.06770388398001881	0.004773979900932278	0.0048243967233680286	16.801477222986488	15.616760632839592
log2(FPKM)	0.003542377998476756	0.06325616308006245	0.0053173762621227215	0.0044309650613922145	17.85697717952827	16.355901838497687
log2(TMM)	0.0037471215659163775	0.06433214756680274	0.006206504137061944	0.004527873399586343	17.168417526659557	15.512078379961999
log2(TPM)	0.0036547245883833224	0.06412578258449794	0.003874422879850556	0.0047016235658842	17.5459958838825	16.485882382535355
